Numero de Parte o SKU,Descripcion,Presentacion,Marca,Costo,Moneda,% de Importacion,Precio al Publico,ESPRO,Fecha Lista de Precio,Validado por ESPRO,Comentarios
01915_9,NON-ELECTRIC STERILIZER Inner Container Capacity 9.5 qt. / 9 liter Gross Capacity: 15 qt. / 14 liter ,Paquete,All American,$274.55,USD,0%,$534.99,Luis Canamar,12/3/2024,No,
01925_8,NON-ELECTRIC STERILIZER Inner Container Capacity 17.6 qt. / 16.6 liter Gross Capacity:  25 qt. / 24 liter ,Paquete,All American,$293.55,USD,0%,$584.99,Luis Canamar,12/3/2024,No,
01941_8,NON-ELECTRIC STERILIZER Inner Container Capacity 27.9 qt. / 26.4 liter Gross Capacity:  41 qt. / 39 liter ,Paquete,All American,$497.80,USD,0%,$994.99,Luis Canamar,12/3/2024,No,
50120_3,ELECTRIC STERILIZER Inner Container Capacity  14.5 qt. / 13.7 Liter Gross Capacity:  25 qt. / 24 Liter 120 Volt 50/60 Hz 1650 watts/13.75 amps,Paquete,All American,$588.05,USD,0%,"$1,174.99",Luis Canamar,12/3/2024,No,
50240_8,ELECTRIC STERILIZER Inner Container Capacity  14.5 qt. / 13.7 liter Gross Capacity:  25 qt. / 24 liter 240 Volt 50/60 Hz 1650 watts/6.88 amps,Paquete,All American,$598.05,USD,0%,"$1,194.99",Luis Canamar,12/3/2024,No,
75120_2,ELECTRIC STERILIZER Inner Container Capacity 27.3 qt. / 25.8 liter Gross Capacity: 41 qt. / 39 liter 120 Volt 50/60 Hz 1650 Watts/13.75 amps,Paquete,All American,$764.75,USD,0%,"$1,554.99",Luis Canamar,12/3/2024,No,
75240_7,ELECTRIC STERILIZER Inner Container Capacity 27.3 qt. / 25.8 liter Gross Capacity: 41 qt. / 39 liter 240 Volt 50/60 Hz 1650 Watts/6.88 amps,Paquete,All American,$774.75,USD,0%,"$1,574.99",Luis Canamar,12/3/2024,No,
